/*********************************************
 * OPL 12.2 Data
 * Author: mireia.roca
 * Creation Date: 04/02/16
*********************************************/
Id=8017;
c=2;
n=25;
N={1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25};
D={26,27};
Q=200;
CJ=[{1},{1},{2},{2},{2},{2},{1},{1},{1},{1},{1},{1,2},{1},{1},{1},{1,2},{2},{2},{2},{2},{1},{2},{1},{1},{1,2}];
d=[
[19,0],[11,0],[0,19],[0,20],[0,10],[0,9],[15,0],[11,0],[16,0],[13,0],[13,0],[16,20],[20,0],[18,0],[11,0],[7,10],[0,17],[0,5],[0,19],[0,6],[16,0],[0,8],[15,0],[14,0],[8,17]];
m=[3,3];
K=[{1,2,3},{4,5,6}];
KT={1,2,3,4,5,6};
cv=50;
cost = #[
<1,2>:97.84,
<1,3>:78.49,
<1,4>:56.14,
<1,5>:109.40,
<1,6>:25.61,
<1,7>:86.09,
<1,8>:82.49,
<1,9>:25.18,
<1,10>:83.02,
<1,11>:94.54,
<1,12>:56.36,
<1,13>:25.94,
<1,14>:27.29,
<1,15>:82.22,
<1,16>:16.12,
<1,17>:31.40,
<1,18>:41.00,
<1,19>:66.10,
<1,20>:15.62,
<1,21>:40.71,
<1,22>:60.41,
<1,23>:21.38,
<1,24>:63.57,
<1,25>:58.69,
<1,26>:120.10,
<1,27>:25.00,
<2,1>:97.84,
<2,3>:30.02,
<2,4>:70.46,
<2,5>:14.04,
<2,6>:72.80,
<2,7>:20.00,
<2,8>:22.20,
<2,9>:81.01,
<2,10>:51.62,
<2,11>:29.97,
<2,12>:44.94,
<2,13>:106.83,
<2,14>:79.18,
<2,15>:20.10,
<2,16>:107.63,
<2,17>:73.01,
<2,18>:77.49,
<2,19>:54.01,
<2,20>:82.46,
<2,21>:61.72,
<2,22>:72.37,
<2,23>:89.07,
<2,24>:45.22,
<2,25>:52.81,
<2,26>:22.47,
<2,27>:119.60,
<3,1>:78.49,
<3,2>:30.02,
<3,4>:41.00,
<3,5>:44.00,
<3,6>:53.00,
<3,7>:36.62,
<3,8>:35.47,
<3,9>:57.28,
<3,10>:64.40,
<3,11>:51.31,
<3,12>:39.46,
<3,13>:93.64,
<3,14>:55.17,
<3,15>:10.44,
<3,16>:91.24,
<3,17>:61.39,
<3,18>:50.12,
<3,19>:24.08,
<3,20>:62.97,
<3,21>:38.29,
<3,22>:73.76,
<3,23>:65.12,
<3,24>:46.82,
<3,25>:52.63,
<3,26>:50.22,
<3,27>:102.58,
<4,1>:56.14,
<4,2>:70.46,
<4,3>:41.00,
<4,5>:84.48,
<4,6>:37.95,
<4,7>:71.02,
<4,8>:68.45,
<4,9>:31.02,
<4,10>:89.07,
<4,11>:85.15,
<4,12>:54.92,
<4,13>:79.40,
<4,14>:29.00,
<4,15>:50.36,
<4,16>:72.03,
<4,17>:57.71,
<4,18>:15.52,
<4,19>:17.46,
<4,20>:44.41,
<4,21>:25.00,
<4,22>:84.29,
<4,23>:35.90,
<4,24>:66.04,
<4,25>:67.62,
<4,26>:91.22,
<4,27>:80.75,
<5,1>:109.40,
<5,2>:14.04,
<5,3>:44.00,
<5,4>:84.48,
<5,6>:84.91,
<5,7>:25.24,
<5,8>:28.60,
<5,9>:93.94,
<5,10>:52.35,
<5,11>:28.02,
<5,12>:54.45,
<5,13>:116.28,
<5,14>:92.20,
<5,15>:34.13,
<5,16>:118.14,
<5,17>:82.76,
<5,18>:91.21,
<5,19>:68.03,
<5,20>:94.30,
<5,21>:74.85,
<5,22>:77.25,
<5,23>:101.98,
<5,24>:52.15,
<5,25>:59.68,
<5,26>:12.08,
<5,27>:130.18,
<6,1>:25.61,
<6,2>:72.80,
<6,3>:53.00,
<6,4>:37.95,
<6,5>:84.91,
<6,7>:62.77,
<6,8>:59.24,
<6,9>:13.93,
<6,10>:66.37,
<6,11>:73.01,
<6,12>:34.53,
<6,13>:43.19,
<6,14>:13.89,
<6,15>:56.64,
<6,16>:38.63,
<6,17>:21.21,
<6,18>:26.40,
<6,19>:43.19,
<6,20>:10.00,
<6,21>:16.28,
<6,22>:51.62,
<6,23>:20.02,
<6,24>:44.01,
<6,25>:41.44,
<6,26>:95.21,
<6,27>:49.65,
<7,1>:86.09,
<7,2>:20.00,
<7,3>:36.62,
<7,4>:71.02,
<7,5>:25.24,
<7,6>:62.77,
<7,8>:3.61,
<7,9>:73.50,
<7,10>:32.02,
<7,11>:14.76,
<7,12>:30.00,
<7,13>:91.29,
<7,14>:72.03,
<7,15>:26.91,
<7,16>:93.72,
<7,17>:58.05,
<7,18>:74.06,
<7,19>:57.25,
<7,20>:71.55,
<7,21>:55.58,
<7,22>:52.89,
<7,23>:81.32,
<7,24>:26.93,
<7,25>:34.48,
<7,26>:37.22,
<7,27>:105.76,
<8,1>:82.49,
<8,2>:22.20,
<8,3>:35.47,
<8,4>:68.45,
<8,5>:28.60,
<8,6>:59.24,
<8,7>:3.61,
<8,9>:70.09,
<8,10>:31.02,
<8,11>:16.76,
<8,12>:26.40,
<8,13>:87.78,
<8,14>:68.66,
<8,15>:26.25,
<8,16>:90.14,
<8,17>:54.49,
<8,18>:71.01,
<8,19>:55.15,
<8,20>:67.98,
<8,21>:52.35,
