Processando o arquivo: D:/rafaelvc/SUPERCODIGO/dados\vrps_8045.dat
status= OPTIMAL
ID = 8045
Numero de clientes = 25
OF (custo) = 523.9499999999999
Best Objective = 523.9499999999999
Best Bound = 523.9499999999999
GAP = 0.0%
x[1, 3, A] = 1.0
x[2, 4, A] = 1.0
x[3, 17, A] = 1.0
x[4, 16, A] = 1.0
x[6, 14, A] = 1.0
x[9, 25, A] = 1.0
x[10, 18, A] = 1.0
x[11, 15, A] = 1.0
x[13, 9, A] = 1.0
x[14, A, A] = 1.0
x[15, 2, A] = 1.0
x[16, 13, A] = 1.0
x[17, 10, A] = 1.0
x[18, 6, A] = 1.0
x[24, A, A] = 1.0
x[25, 24, A] = 1.0
x[A, 1, A] = 1.0
x[A, 11, A] = 1.0
z[1, A, A] = 1.0
z[2, A, A] = 1.0
z[3, A, A] = 1.0
z[4, A, A] = 1.0
z[6, A, A] = 1.0
z[9, A, A] = 1.0
z[10, A, A] = 1.0
z[11, A, A] = 1.0
z[13, A, A] = 1.0
z[14, A, A] = 1.0
z[15, A, A] = 1.0
z[16, A, A] = 1.0
z[17, A, A] = 1.0
z[18, A, A] = 1.0
z[24, A, A] = 1.0
z[25, A, A] = 1.0
l[1, 3, A, 3] = 56.0
l[1, 3, A, 6] = 56.0
l[1, 3, A, 10] = 43.0
l[1, 3, A, 14] = 38.0
l[1, 3, A, 17] = 35.0
l[1, 3, A, 18] = 66.0
l[2, 4, A, 4] = 36.0
l[2, 4, A, 9] = 65.0
l[2, 4, A, 13] = 65.0
l[2, 4, A, 16] = 27.0
l[2, 4, A, 24] = 42.0
l[2, 4, A, 25] = 73.0
l[3, 17, A, 6] = 56.0
l[3, 17, A, 10] = 43.0
l[3, 17, A, 14] = 38.0
l[3, 17, A, 17] = 35.0
l[3, 17, A, 18] = 66.0
l[4, 16, A, 9] = 65.0
l[4, 16, A, 13] = 65.0
l[4, 16, A, 16] = 27.0
l[4, 16, A, 24] = 42.0
l[4, 16, A, 25] = 73.0
l[6, 14, A, 14] = 38.0
l[9, 25, A, 24] = 42.0
l[9, 25, A, 25] = 73.0
l[10, 18, A, 6] = 56.0
l[10, 18, A, 14] = 38.0
l[10, 18, A, 18] = 66.0
l[11, 15, A, 2] = 38.0
l[11, 15, A, 4] = 36.0
l[11, 15, A, 9] = 65.0
l[11, 15, A, 13] = 65.0
l[11, 15, A, 15] = 49.0
l[11, 15, A, 16] = 27.0
l[11, 15, A, 24] = 42.0
l[11, 15, A, 25] = 73.0
l[13, 9, A, 9] = 65.0
l[13, 9, A, 24] = 42.0
l[13, 9, A, 25] = 73.0
l[15, 2, A, 2] = 38.0
l[15, 2, A, 4] = 36.0
l[15, 2, A, 9] = 65.0
l[15, 2, A, 13] = 65.0
l[15, 2, A, 16] = 27.0
l[15, 2, A, 24] = 42.0
l[15, 2, A, 25] = 73.0
l[16, 13, A, 9] = 65.0
l[16, 13, A, 13] = 65.0
l[16, 13, A, 24] = 42.0
l[16, 13, A, 25] = 73.0
l[17, 10, A, 6] = 56.0
l[17, 10, A, 10] = 43.0
l[17, 10, A, 14] = 38.0
l[17, 10, A, 18] = 66.0
l[18, 6, A, 6] = 56.0
l[18, 6, A, 14] = 38.0
l[25, 24, A, 24] = 42.0
l[A, 1, A, 1] = 30.0
l[A, 1, A, 3] = 56.0
l[A, 1, A, 6] = 56.0
l[A, 1, A, 10] = 43.0
l[A, 1, A, 14] = 38.0
l[A, 1, A, 17] = 35.0
l[A, 1, A, 18] = 66.0
l[A, 11, A, 2] = 38.0
l[A, 11, A, 4] = 36.0
l[A, 11, A, 9] = 65.0
l[A, 11, A, 11] = 54.0
l[A, 11, A, 13] = 65.0
l[A, 11, A, 15] = 49.0
l[A, 11, A, 16] = 27.0
l[A, 11, A, 24] = 42.0
l[A, 11, A, 25] = 73.0
m[1, 3, A, 1] = 44.0
m[2, 4, A, 2] = 62.0
m[2, 4, A, 11] = 26.0
m[2, 4, A, 15] = 28.0
m[3, 17, A, 1] = 44.0
m[3, 17, A, 3] = 42.0
m[4, 16, A, 2] = 62.0
m[4, 16, A, 4] = 59.0
m[4, 16, A, 11] = 26.0
m[4, 16, A, 15] = 28.0
m[6, 14, A, 1] = 44.0
m[6, 14, A, 3] = 42.0
m[6, 14, A, 6] = 53.0
m[6, 14, A, 10] = 59.0
m[6, 14, A, 17] = 51.0
m[6, 14, A, 18] = 62.0
m[9, 25, A, 2] = 62.0
m[9, 25, A, 4] = 59.0
m[9, 25, A, 9] = 49.0
m[9, 25, A, 11] = 26.0
m[9, 25, A, 13] = 60.0
m[9, 25, A, 15] = 28.0
m[9, 25, A, 16] = 61.0
m[10, 18, A, 1] = 44.0
m[10, 18, A, 3] = 42.0
m[10, 18, A, 10] = 59.0
m[10, 18, A, 17] = 51.0
m[11, 15, A, 11] = 26.0
m[13, 9, A, 2] = 62.0
m[13, 9, A, 4] = 59.0
m[13, 9, A, 11] = 26.0
m[13, 9, A, 13] = 60.0
m[13, 9, A, 15] = 28.0
m[13, 9, A, 16] = 61.0
m[14, A, A, 1] = 44.0
m[14, A, A, 3] = 42.0
m[14, A, A, 6] = 53.0
m[14, A, A, 10] = 59.0
m[14, A, A, 14] = 26.0
m[14, A, A, 17] = 51.0
m[14, A, A, 18] = 62.0
m[15, 2, A, 11] = 26.0
m[15, 2, A, 15] = 28.0
m[16, 13, A, 2] = 62.0
m[16, 13, A, 4] = 59.0
m[16, 13, A, 11] = 26.0
m[16, 13, A, 15] = 28.0
m[16, 13, A, 16] = 61.0
m[17, 10, A, 1] = 44.0
m[17, 10, A, 3] = 42.0
m[17, 10, A, 17] = 51.0
m[18, 6, A, 1] = 44.0
m[18, 6, A, 3] = 42.0
m[18, 6, A, 10] = 59.0
m[18, 6, A, 17] = 51.0
m[18, 6, A, 18] = 62.0
m[24, A, A, 2] = 62.0
m[24, A, A, 4] = 59.0
m[24, A, A, 9] = 49.0
m[24, A, A, 11] = 26.0
m[24, A, A, 13] = 60.0
m[24, A, A, 15] = 28.0
m[24, A, A, 16] = 61.0
m[24, A, A, 24] = 51.0
m[24, A, A, 25] = 40.0
m[25, 24, A, 2] = 62.0
m[25, 24, A, 4] = 59.0
m[25, 24, A, 9] = 49.0
m[25, 24, A, 11] = 26.0
m[25, 24, A, 13] = 60.0
m[25, 24, A, 15] = 28.0
m[25, 24, A, 16] = 61.0
m[25, 24, A, 25] = 40.0
Tempo de execução: 296.2745921 segundos
