Processando o arquivo: D:/rafaelvc/SUPERCODIGO/dados\vrps_8037.dat
status= OPTIMAL
ID = 8037
Numero de clientes = 20
OF (custo) = 363.68000000000006
Best Objective = 363.68000000000006
Best Bound = 363.68000000000006
GAP = 0.0%
x[1, 18, A] = 1.0
x[2, 4, A] = 1.0
x[3, 2, A] = 1.0
x[4, 7, A] = 1.0
x[5, 17, A] = 1.0
x[7, 5, A] = 1.0
x[9, 3, A] = 1.0
x[13, 20, A] = 1.0
x[15, A, A] = 1.0
x[16, 13, A] = 1.0
x[17, 1, A] = 1.0
x[18, 16, A] = 1.0
x[19, 15, A] = 1.0
x[20, 19, A] = 1.0
x[A, 9, A] = 1.0
l[1, 18, A, 15] = 3.0
l[1, 18, A, 18] = 8.0
l[1, 18, A, 19] = 23.0
l[1, 18, A, 20] = 9.0
l[2, 4, A, 1] = 31.0
l[2, 4, A, 4] = 17.0
l[2, 4, A, 5] = 32.0
l[2, 4, A, 7] = 16.0
l[2, 4, A, 15] = 3.0
l[2, 4, A, 18] = 8.0
l[2, 4, A, 19] = 23.0
l[2, 4, A, 20] = 9.0
l[3, 2, A, 1] = 31.0
l[3, 2, A, 2] = 31.0
l[3, 2, A, 4] = 17.0
l[3, 2, A, 5] = 32.0
l[3, 2, A, 7] = 16.0
l[3, 2, A, 15] = 3.0
l[3, 2, A, 18] = 8.0
l[3, 2, A, 19] = 23.0
l[3, 2, A, 20] = 9.0
l[4, 7, A, 1] = 31.0
l[4, 7, A, 5] = 32.0
l[4, 7, A, 7] = 16.0
l[4, 7, A, 15] = 3.0
l[4, 7, A, 18] = 8.0
l[4, 7, A, 19] = 23.0
l[4, 7, A, 20] = 9.0
l[5, 17, A, 1] = 31.0
l[5, 17, A, 15] = 3.0
l[5, 17, A, 18] = 8.0
l[5, 17, A, 19] = 23.0
l[5, 17, A, 20] = 9.0
l[7, 5, A, 1] = 31.0
l[7, 5, A, 5] = 32.0
l[7, 5, A, 15] = 3.0
l[7, 5, A, 18] = 8.0
l[7, 5, A, 19] = 23.0
l[7, 5, A, 20] = 9.0
l[9, 3, A, 1] = 31.0
l[9, 3, A, 2] = 31.0
l[9, 3, A, 4] = 17.0
l[9, 3, A, 5] = 32.0
l[9, 3, A, 7] = 16.0
l[9, 3, A, 15] = 3.0
l[9, 3, A, 18] = 8.0
l[9, 3, A, 19] = 23.0
l[9, 3, A, 20] = 9.0
l[13, 20, A, 15] = 3.0
l[13, 20, A, 19] = 23.0
l[13, 20, A, 20] = 9.0
l[16, 13, A, 15] = 3.0
l[16, 13, A, 19] = 23.0
l[16, 13, A, 20] = 9.0
l[17, 1, A, 1] = 31.0
l[17, 1, A, 15] = 3.0
l[17, 1, A, 18] = 8.0
l[17, 1, A, 19] = 23.0
l[17, 1, A, 20] = 9.0
l[18, 16, A, 15] = 3.0
l[18, 16, A, 19] = 23.0
l[18, 16, A, 20] = 9.0
l[19, 15, A, 15] = 3.0
l[20, 19, A, 15] = 3.0
l[20, 19, A, 19] = 23.0
l[A, 9, A, 1] = 31.0
l[A, 9, A, 2] = 31.0
l[A, 9, A, 4] = 17.0
l[A, 9, A, 5] = 32.0
l[A, 9, A, 7] = 16.0
l[A, 9, A, 9] = 23.0
l[A, 9, A, 15] = 3.0
l[A, 9, A, 18] = 8.0
l[A, 9, A, 19] = 23.0
l[A, 9, A, 20] = 9.0
m[1, 18, A, 1] = 32.0
m[1, 18, A, 2] = 16.0
m[1, 18, A, 4] = 12.0
m[1, 18, A, 5] = 26.0
m[1, 18, A, 7] = 24.0
m[1, 18, A, 9] = 14.0
m[2, 4, A, 2] = 16.0
m[2, 4, A, 9] = 14.0
m[3, 2, A, 9] = 14.0
m[4, 7, A, 2] = 16.0
m[4, 7, A, 4] = 12.0
m[4, 7, A, 9] = 14.0
m[5, 17, A, 2] = 16.0
m[5, 17, A, 4] = 12.0
m[5, 17, A, 5] = 26.0
m[5, 17, A, 7] = 24.0
m[5, 17, A, 9] = 14.0
m[7, 5, A, 2] = 16.0
m[7, 5, A, 4] = 12.0
m[7, 5, A, 7] = 24.0
m[7, 5, A, 9] = 14.0
m[9, 3, A, 9] = 14.0
m[13, 20, A, 1] = 32.0
m[13, 20, A, 2] = 16.0
m[13, 20, A, 4] = 12.0
m[13, 20, A, 5] = 26.0
m[13, 20, A, 7] = 24.0
m[13, 20, A, 9] = 14.0
m[15, A, A, 1] = 32.0
m[15, A, A, 2] = 16.0
m[15, A, A, 4] = 12.0
m[15, A, A, 5] = 26.0
m[15, A, A, 7] = 24.0
m[15, A, A, 9] = 14.0
m[15, A, A, 20] = 27.0
m[16, 13, A, 1] = 32.0
m[16, 13, A, 2] = 16.0
m[16, 13, A, 4] = 12.0
m[16, 13, A, 5] = 26.0
m[16, 13, A, 7] = 24.0
m[16, 13, A, 9] = 14.0
m[17, 1, A, 2] = 16.0
m[17, 1, A, 4] = 12.0
m[17, 1, A, 5] = 26.0
m[17, 1, A, 7] = 24.0
m[17, 1, A, 9] = 14.0
m[18, 16, A, 1] = 32.0
m[18, 16, A, 2] = 16.0
m[18, 16, A, 4] = 12.0
m[18, 16, A, 5] = 26.0
m[18, 16, A, 7] = 24.0
m[18, 16, A, 9] = 14.0
m[19, 15, A, 1] = 32.0
m[19, 15, A, 2] = 16.0
m[19, 15, A, 4] = 12.0
m[19, 15, A, 5] = 26.0
m[19, 15, A, 7] = 24.0
m[19, 15, A, 9] = 14.0
m[19, 15, A, 20] = 27.0
m[20, 19, A, 1] = 32.0
m[20, 19, A, 2] = 16.0
m[20, 19, A, 4] = 12.0
m[20, 19, A, 5] = 26.0
m[20, 19, A, 7] = 24.0
m[20, 19, A, 9] = 14.0
m[20, 19, A, 20] = 27.0
n[1, 18, A, 15] = 9.0
n[1, 18, A, 16] = 14.0
n[1, 18, A, 18] = 1.0
n[2, 4, A, 15] = 4.0
n[2, 4, A, 18] = 1.0
n[3, 2, A, 15] = 4.0
n[3, 2, A, 18] = 1.0
n[4, 7, A, 15] = 4.0
n[4, 7, A, 18] = 1.0
n[5, 17, A, 15] = 4.0
n[5, 17, A, 18] = 1.0
n[7, 5, A, 15] = 4.0
n[7, 5, A, 18] = 1.0
n[13, 20, A, 15] = 9.0
n[13, 20, A, 19] = 9.0
n[16, 13, A, 15] = 9.0
n[17, 1, A, 15] = 9.0
n[17, 1, A, 16] = 14.0
n[17, 1, A, 18] = 1.0
n[18, 16, A, 15] = 9.0
n[18, 16, A, 16] = 14.0
n[19, 15, A, 15] = 9.0
n[20, 19, A, 15] = 9.0
n[20, 19, A, 19] = 9.0
Tempo de execução: 11.6526652 segundos
