Processando o arquivo: D:/rafaelvc/SUPERCODIGO/dados\vrps_8043.dat
status= TIME_LIMIT
ID = 8043
Numero de clientes = 25
OF (custo) = 585.12
Best Objective = 585.12
Best Bound = 551.5199999999991
GAP = 5.742411812961603%
O tempo limite foi atingido.
x[1, 11, B] = 1.0
x[2, 1, B] = 1.0
x[3, 23, B] = 1.0
x[4, B, B] = 1.0
x[5, 17, B] = 1.0
x[7, 8, B] = 1.0
x[8, 2, B] = 1.0
x[9, 3, B] = 1.0
x[10, 9, B] = 1.0
x[11, 22, B] = 1.0
x[12, B, B] = 1.0
x[14, 4, B] = 1.0
x[15, 16, B] = 1.0
x[16, 12, B] = 1.0
x[17, 14, B] = 1.0
x[22, B, B] = 1.0
x[23, 15, B] = 1.0
x[24, 7, B] = 1.0
x[B, 5, B] = 1.0
x[B, 10, B] = 1.0
x[B, 24, B] = 1.0
z[1, B, B] = 1.0
z[2, B, B] = 1.0
z[3, B, B] = 1.0
z[4, B, B] = 1.0
z[5, B, B] = 1.0
z[7, B, B] = 1.0
z[8, B, B] = 1.0
z[9, B, B] = 1.0
z[10, B, B] = 1.0
z[11, B, B] = 1.0
z[12, B, B] = 1.0
z[14, B, B] = 1.0
z[15, B, B] = 1.0
z[16, B, B] = 1.0
z[17, B, B] = 1.0
z[22, B, B] = 1.0
z[23, B, B] = 1.0
z[24, B, B] = 1.0
l[1, 11, B, 11] = 27.0
l[1, 11, B, 22] = 46.0
l[2, 1, B, 1] = 21.0
l[2, 1, B, 11] = 27.0
l[2, 1, B, 22] = 46.0
l[3, 23, B, 12] = 27.0
l[3, 23, B, 15] = 39.0
l[3, 23, B, 16] = 39.0
l[3, 23, B, 23] = 33.0
l[5, 17, B, 4] = 42.0
l[5, 17, B, 14] = 40.0
l[5, 17, B, 17] = 47.0
l[7, 8, B, 1] = 21.0
l[7, 8, B, 2] = 35.0
l[7, 8, B, 8] = 46.0
l[7, 8, B, 11] = 27.0
l[7, 8, B, 22] = 46.0
l[8, 2, B, 1] = 21.0
l[8, 2, B, 2] = 35.0
l[8, 2, B, 11] = 27.0
l[8, 2, B, 22] = 46.0
l[9, 3, B, 3] = 30.0
l[9, 3, B, 12] = 27.0
l[9, 3, B, 15] = 39.0
l[9, 3, B, 16] = 39.0
l[9, 3, B, 23] = 33.0
l[10, 9, B, 3] = 30.0
l[10, 9, B, 9] = 40.0
l[10, 9, B, 12] = 27.0
l[10, 9, B, 15] = 39.0
l[10, 9, B, 16] = 39.0
l[10, 9, B, 23] = 33.0
l[11, 22, B, 22] = 46.0
l[14, 4, B, 4] = 42.0
l[15, 16, B, 12] = 27.0
l[15, 16, B, 16] = 39.0
l[16, 12, B, 12] = 27.0
l[17, 14, B, 4] = 42.0
