Processando o arquivo: D:/rafaelvc/SUPERCODIGO/dados\vrps_8051.dat
status= OPTIMAL
ID = 8051
Numero de clientes = 10
OF (custo) = 202.81
Best Objective = 202.81
Best Bound = 202.80999999999972
GAP = 0.0%
x[1, 2, A] = 1.0
x[2, 4, A] = 1.0
x[3, 6, A] = 1.0
x[4, A, A] = 1.0
x[5, 3, A] = 1.0
x[6, 9, A] = 1.0
x[9, 1, A] = 1.0
x[A, 5, A] = 1.0
l[1, 2, A, 4] = 17.0
l[2, 4, A, 4] = 17.0
l[3, 6, A, 4] = 17.0
l[3, 6, A, 6] = 18.0
l[5, 3, A, 4] = 17.0
l[5, 3, A, 6] = 18.0
l[6, 9, A, 4] = 17.0
l[9, 1, A, 4] = 17.0
l[A, 5, A, 4] = 17.0
l[A, 5, A, 5] = 12.0
l[A, 5, A, 6] = 18.0
m[1, 2, A, 5] = 8.0
m[1, 2, A, 6] = 21.0
m[2, 4, A, 5] = 8.0
m[2, 4, A, 6] = 21.0
m[3, 6, A, 5] = 8.0
m[4, A, A, 4] = 18.0
m[4, A, A, 5] = 8.0
m[4, A, A, 6] = 21.0
m[5, 3, A, 5] = 8.0
m[6, 9, A, 5] = 8.0
m[6, 9, A, 6] = 21.0
m[9, 1, A, 5] = 8.0
m[9, 1, A, 6] = 21.0
n[1, 2, A, 2] = 10.0
n[3, 6, A, 9] = 14.0
n[6, 9, A, 9] = 14.0
Tempo de execução: 2.5330704 segundos
