Processando o arquivo: D:/rafaelvc/SUPERCODIGO/dados\vrps_8020.dat
status= OPTIMAL
ID = 8020
Numero de clientes = 25
OF (custo) = 742.24
Best Objective = 742.24
Best Bound = 742.24
GAP = 0.0%
x[1, B, B] = 1.0
x[2, 16, B] = 1.0
x[3, 6, B] = 1.0
x[4, 18, A] = 1.0
x[5, 7, A] = 1.0
x[6, 24, B] = 1.0
x[7, A, A] = 1.0
x[8, 21, A] = 1.0
x[9, 2, B] = 1.0
x[10, 3, B] = 1.0
x[11, A, A] = 1.0
x[12, 4, A] = 1.0
x[13, 5, A] = 1.0
x[14, 20, A] = 1.0
x[15, 25, A] = 1.0
x[16, 1, B] = 1.0
x[17, 9, B] = 1.0
x[18, 15, A] = 1.0
x[19, 23, A] = 1.0
x[20, 19, A] = 1.0
x[21, 14, A] = 1.0
x[22, 17, B] = 1.0
x[23, 13, A] = 1.0
x[24, 22, B] = 1.0
x[25, 8, A] = 1.0
x[A, 11, A] = 1.0
x[A, 12, A] = 1.0
x[B, 10, B] = 1.0
z[1, A, B] = 1.0
z[1, B, B] = 1.0
z[2, B, B] = 1.0
z[3, B, B] = 1.0
z[4, A, A] = 1.0
z[5, A, A] = 1.0
z[6, A, B] = 1.0
z[6, B, B] = 1.0
z[7, A, A] = 1.0
z[8, A, A] = 1.0
z[9, B, B] = 1.0
z[10, B, B] = 1.0
z[11, A, A] = 1.0
z[12, A, A] = 1.0
z[13, A, A] = 1.0
z[14, A, A] = 1.0
z[15, A, A] = 1.0
z[16, B, B] = 1.0
z[17, B, B] = 1.0
z[18, A, A] = 1.0
z[19, A, A] = 1.0
z[20, A, A] = 1.0
z[21, A, A] = 1.0
z[22, B, B] = 1.0
z[23, A, A] = 1.0
z[24, B, B] = 1.0
z[25, A, A] = 1.0
l[2, 16, B, 1] = 41.0
l[2, 16, B, 16] = 36.0
l[3, 6, B, 1] = 41.0
l[3, 6, B, 2] = 34.0
l[3, 6, B, 6] = 64.0
l[3, 6, B, 9] = 42.0
l[3, 6, B, 16] = 36.0
l[3, 6, B, 17] = 38.0
l[3, 6, B, 22] = 29.0
l[3, 6, B, 24] = 38.0
l[4, 18, A, 5] = 32.0
l[4, 18, A, 7] = 41.0
l[4, 18, A, 8] = 35.0
l[4, 18, A, 13] = 40.0
l[4, 18, A, 14] = 25.0
l[4, 18, A, 15] = 31.0
l[4, 18, A, 18] = 33.0
l[4, 18, A, 19] = 24.0
l[4, 18, A, 20] = 37.0
l[4, 18, A, 21] = 41.0
l[4, 18, A, 23] = 30.0
l[4, 18, A, 25] = 37.0
l[5, 7, A, 7] = 41.0
l[6, 24, B, 1] = 41.0
l[6, 24, B, 2] = 34.0
l[6, 24, B, 9] = 42.0
l[6, 24, B, 16] = 36.0
l[6, 24, B, 17] = 38.0
l[6, 24, B, 22] = 29.0
l[6, 24, B, 24] = 38.0
l[8, 21, A, 5] = 32.0
l[8, 21, A, 7] = 41.0
l[8, 21, A, 13] = 40.0
l[8, 21, A, 14] = 25.0
l[8, 21, A, 19] = 24.0
l[8, 21, A, 20] = 37.0
l[8, 21, A, 21] = 41.0
l[8, 21, A, 23] = 30.0
l[9, 2, B, 1] = 41.0
l[9, 2, B, 2] = 34.0
l[9, 2, B, 16] = 36.0
l[10, 3, B, 1] = 41.0
l[10, 3, B, 2] = 34.0
l[10, 3, B, 3] = 34.0
l[10, 3, B, 6] = 64.0
l[10, 3, B, 9] = 42.0
l[10, 3, B, 16] = 36.0
l[10, 3, B, 17] = 38.0
l[10, 3, B, 22] = 29.0
l[10, 3, B, 24] = 38.0
l[12, 4, A, 4] = 28.0
l[12, 4, A, 5] = 32.0
l[12, 4, A, 7] = 41.0
l[12, 4, A, 8] = 35.0
l[12, 4, A, 13] = 40.0
l[12, 4, A, 14] = 25.0
l[12, 4, A, 15] = 31.0
l[12, 4, A, 18] = 33.0
l[12, 4, A, 19] = 24.0
l[12, 4, A, 20] = 37.0
l[12, 4, A, 21] = 41.0
l[12, 4, A, 23] = 30.0
l[12, 4, A, 25] = 37.0
l[13, 5, A, 5] = 32.0
l[13, 5, A, 7] = 41.0
l[14, 20, A, 5] = 32.0
l[14, 20, A, 7] = 41.0
l[14, 20, A, 13] = 40.0
