Processando o arquivo: D:/rafaelvc/SUPERCODIGO/dados\vrps_8067.dat
status= OPTIMAL
ID = 8067
Numero de clientes = 25
OF (custo) = 616.5799999999999
Best Objective = 616.5799999999999
Best Bound = 616.5799999999999
GAP = 0.0%
x[1, 24, B] = 1.0
x[2, 5, A] = 1.0
x[2, 5, B] = 1.0
x[2, 13, B] = 1.0
x[3, 6, A] = 1.0
x[4, 7, A] = 1.0
x[5, 2, A] = 1.0
x[5, 2, B] = 1.0
x[6, 14, A] = 1.0
x[7, 11, A] = 1.0
x[8, 15, B] = 1.0
x[9, 18, A] = 1.0
x[10, 4, A] = 1.0
x[11, 19, A] = 1.0
x[12, A, A] = 1.0
x[13, 21, B] = 1.0
x[14, 10, A] = 1.0
x[15, 23, B] = 1.0
x[16, 8, B] = 1.0
x[17, 2, B] = 1.0
x[18, 22, A] = 1.0
x[19, 12, A] = 1.0
x[20, 1, B] = 1.0
x[21, B, B] = 1.0
x[22, 3, A] = 1.0
x[23, B, B] = 1.0
x[24, 16, B] = 1.0
x[25, 17, B] = 1.0
x[A, 9, A] = 1.0
x[B, 20, B] = 1.0
x[B, 25, B] = 1.0
z[1, A, B] = 1.0
z[1, B, B] = 1.0
z[2, A, B] = 1.0
z[2, B, B] = 1.0
z[3, A, A] = 1.0
z[4, A, A] = 1.0
z[5, A, B] = 1.0
z[5, B, B] = 1.0
z[6, A, A] = 1.0
z[7, A, A] = 1.0
z[8, B, B] = 1.0
z[9, A, A] = 1.0
z[9, B, A] = 1.0
z[10, A, A] = 1.0
z[11, A, A] = 1.0
z[12, A, A] = 1.0
z[13, B, B] = 1.0
z[14, A, A] = 1.0
z[15, B, B] = 1.0
z[16, A, B] = 1.0
z[16, B, B] = 1.0
z[17, A, B] = 1.0
z[17, B, B] = 1.0
z[18, A, A] = 1.0
z[19, A, A] = 1.0
z[20, A, B] = 1.0
z[20, B, B] = 1.0
z[21, B, B] = 1.0
z[22, A, A] = 1.0
z[23, B, B] = 1.0
z[24, A, B] = 1.0
z[24, B, B] = 1.0
z[25, B, B] = 1.0
l[1, 24, B, 8] = 9.0
l[1, 24, B, 15] = 11.0
l[1, 24, B, 16] = 22.0
l[1, 24, B, 23] = 8.0
l[1, 24, B, 24] = 22.0
l[2, 5, B, 5] = 21.0
l[2, 13, B, 13] = 11.0
l[2, 13, B, 21] = 11.0
l[3, 6, A, 4] = 12.0
l[3, 6, A, 6] = 17.0
l[3, 6, A, 7] = 17.0
l[3, 6, A, 10] = 19.0
l[3, 6, A, 11] = 7.0
l[3, 6, A, 12] = 19.0
l[3, 6, A, 14] = 18.0
l[3, 6, A, 19] = 9.0
l[4, 7, A, 7] = 17.0
l[4, 7, A, 11] = 7.0
l[4, 7, A, 12] = 19.0
l[4, 7, A, 19] = 9.0
l[6, 14, A, 4] = 12.0
l[6, 14, A, 7] = 17.0
l[6, 14, A, 10] = 19.0
l[6, 14, A, 11] = 7.0
l[6, 14, A, 12] = 19.0
l[6, 14, A, 14] = 18.0
l[6, 14, A, 19] = 9.0
l[7, 11, A, 11] = 7.0
l[7, 11, A, 12] = 19.0
l[7, 11, A, 19] = 9.0
l[8, 15, B, 15] = 11.0
l[8, 15, B, 23] = 8.0
l[9, 18, A, 3] = 16.0
l[9, 18, A, 4] = 12.0
l[9, 18, A, 6] = 17.0
l[9, 18, A, 7] = 17.0
l[9, 18, A, 10] = 19.0
l[9, 18, A, 11] = 7.0
l[9, 18, A, 12] = 19.0
l[9, 18, A, 14] = 18.0
l[9, 18, A, 18] = 10.0
l[9, 18, A, 19] = 9.0
l[9, 18, A, 22] = 16.0
l[10, 4, A, 4] = 12.0
l[10, 4, A, 7] = 17.0
l[10, 4, A, 11] = 7.0
l[10, 4, A, 12] = 19.0
l[10, 4, A, 19] = 9.0
l[11, 19, A, 12] = 19.0
l[11, 19, A, 19] = 9.0
l[13, 21, B, 21] = 11.0
l[14, 10, A, 4] = 12.0
l[14, 10, A, 7] = 17.0
l[14, 10, A, 10] = 19.0
l[14, 10, A, 11] = 7.0
l[14, 10, A, 12] = 19.0
l[14, 10, A, 19] = 9.0
l[15, 23, B, 23] = 8.0
l[16, 8, B, 8] = 9.0
l[16, 8, B, 15] = 11.0
l[16, 8, B, 23] = 8.0
l[17, 2, B, 2] = 36.0
l[17, 2, B, 5] = 21.0
l[17, 2, B, 13] = 11.0
l[17, 2, B, 21] = 11.0
l[18, 22, A, 3] = 16.0
l[18, 22, A, 4] = 12.0
l[18, 22, A, 6] = 17.0
l[18, 22, A, 7] = 17.0
l[18, 22, A, 10] = 19.0
l[18, 22, A, 11] = 7.0
l[18, 22, A, 12] = 19.0
l[18, 22, A, 14] = 18.0
l[18, 22, A, 19] = 9.0
l[18, 22, A, 22] = 16.0
l[19, 12, A, 12] = 19.0
l[20, 1, B, 1] = 33.0
l[20, 1, B, 8] = 9.0
l[20, 1, B, 15] = 11.0
l[20, 1, B, 16] = 22.0
l[20, 1, B, 23] = 8.0
l[20, 1, B, 24] = 22.0
l[22, 3, A, 3] = 16.0
l[22, 3, A, 4] = 12.0
l[22, 3, A, 6] = 17.0
l[22, 3, A, 7] = 17.0
l[22, 3, A, 10] = 19.0
l[22, 3, A, 11] = 7.0
l[22, 3, A, 12] = 19.0
l[22, 3, A, 14] = 18.0
l[22, 3, A, 19] = 9.0
