Processando o arquivo: D:/rafaelvc/SUPERCODIGO/dados\vrps_8040.dat
status= OPTIMAL
ID = 8040
Numero de clientes = 20
OF (custo) = 518.6999999999999
Best Objective = 518.6999999999999
Best Bound = 518.6999999999999
GAP = 0.0%
x[1, 13, A] = 1.0
x[3, 11, A] = 1.0
x[6, 15, A] = 1.0
x[7, 12, A] = 1.0
x[9, 3, A] = 1.0
x[11, 14, A] = 1.0
x[12, 6, A] = 1.0
x[13, A, A] = 1.0
x[14, A, A] = 1.0
x[15, 16, A] = 1.0
x[16, 18, A] = 1.0
x[18, 1, A] = 1.0
x[19, 9, A] = 1.0
x[A, 7, A] = 1.0
x[A, 19, A] = 1.0
z[1, A, A] = 1.0
z[3, A, A] = 1.0
z[6, A, A] = 1.0
z[7, A, A] = 1.0
z[9, A, A] = 1.0
z[11, A, A] = 1.0
z[12, A, A] = 1.0
z[13, A, A] = 1.0
z[14, A, A] = 1.0
z[15, A, A] = 1.0
z[16, A, A] = 1.0
z[18, A, A] = 1.0
z[19, A, A] = 1.0
l[1, 13, A, 13] = 26.0
l[3, 11, A, 11] = 62.0
l[3, 11, A, 14] = 32.0
l[6, 15, A, 1] = 29.0
l[6, 15, A, 13] = 26.0
l[6, 15, A, 15] = 53.0
l[6, 15, A, 16] = 28.0
l[6, 15, A, 18] = 55.0
l[7, 12, A, 1] = 29.0
l[7, 12, A, 6] = 60.0
l[7, 12, A, 12] = 31.0
l[7, 12, A, 13] = 26.0
l[7, 12, A, 15] = 53.0
l[7, 12, A, 16] = 28.0
l[7, 12, A, 18] = 55.0
l[9, 3, A, 3] = 56.0
l[9, 3, A, 11] = 62.0
l[9, 3, A, 14] = 32.0
l[11, 14, A, 14] = 32.0
l[12, 6, A, 1] = 29.0
l[12, 6, A, 6] = 60.0
l[12, 6, A, 13] = 26.0
l[12, 6, A, 15] = 53.0
l[12, 6, A, 16] = 28.0
l[12, 6, A, 18] = 55.0
l[15, 16, A, 1] = 29.0
l[15, 16, A, 13] = 26.0
l[15, 16, A, 16] = 28.0
l[15, 16, A, 18] = 55.0
l[16, 18, A, 1] = 29.0
l[16, 18, A, 13] = 26.0
l[16, 18, A, 18] = 55.0
l[18, 1, A, 1] = 29.0
l[18, 1, A, 13] = 26.0
l[19, 9, A, 3] = 56.0
l[19, 9, A, 9] = 74.0
l[19, 9, A, 11] = 62.0
l[19, 9, A, 14] = 32.0
l[A, 7, A, 1] = 29.0
l[A, 7, A, 6] = 60.0
l[A, 7, A, 7] = 62.0
l[A, 7, A, 12] = 31.0
l[A, 7, A, 13] = 26.0
l[A, 7, A, 15] = 53.0
l[A, 7, A, 16] = 28.0
l[A, 7, A, 18] = 55.0
l[A, 19, A, 3] = 56.0
l[A, 19, A, 9] = 74.0
l[A, 19, A, 11] = 62.0
l[A, 19, A, 14] = 32.0
l[A, 19, A, 19] = 43.0
m[1, 13, A, 1] = 64.0
m[1, 13, A, 6] = 43.0
m[1, 13, A, 7] = 60.0
m[1, 13, A, 12] = 24.0
m[1, 13, A, 15] = 47.0
m[1, 13, A, 16] = 55.0
m[1, 13, A, 18] = 65.0
m[3, 11, A, 3] = 56.0
m[3, 11, A, 9] = 30.0
m[3, 11, A, 19] = 35.0
m[6, 15, A, 6] = 43.0
m[6, 15, A, 7] = 60.0
m[6, 15, A, 12] = 24.0
m[7, 12, A, 7] = 60.0
m[9, 3, A, 9] = 30.0
m[9, 3, A, 19] = 35.0
m[11, 14, A, 3] = 56.0
m[11, 14, A, 9] = 30.0
m[11, 14, A, 11] = 53.0
m[11, 14, A, 19] = 35.0
m[12, 6, A, 7] = 60.0
m[12, 6, A, 12] = 24.0
m[13, A, A, 1] = 64.0
m[13, A, A, 6] = 43.0
m[13, A, A, 7] = 60.0
m[13, A, A, 12] = 24.0
m[13, A, A, 13] = 24.0
m[13, A, A, 15] = 47.0
m[13, A, A, 16] = 55.0
m[13, A, A, 18] = 65.0
m[14, A, A, 3] = 56.0
m[14, A, A, 9] = 30.0
m[14, A, A, 11] = 53.0
m[14, A, A, 14] = 55.0
m[14, A, A, 19] = 35.0
m[15, 16, A, 6] = 43.0
m[15, 16, A, 7] = 60.0
m[15, 16, A, 12] = 24.0
m[15, 16, A, 15] = 47.0
m[16, 18, A, 6] = 43.0
m[16, 18, A, 7] = 60.0
m[16, 18, A, 12] = 24.0
m[16, 18, A, 15] = 47.0
m[16, 18, A, 16] = 55.0
m[18, 1, A, 6] = 43.0
m[18, 1, A, 7] = 60.0
m[18, 1, A, 12] = 24.0
m[18, 1, A, 15] = 47.0
m[18, 1, A, 16] = 55.0
m[18, 1, A, 18] = 65.0
m[19, 9, A, 19] = 35.0
Tempo de execução: 1112.2513997 segundos
