Processando o arquivo: E:/rafaelvc/SUPERCODIGO/dados\vrps_8083.dat
status= OPTIMAL
ID = 8083
Numero de clientes = 15
OF (custo) = 612.3100000000001
Best Objective = 612.3100000000001
Best Bound = 612.3099999999997
GAP = 0.0%
x[1, 7, A] = 1.0
x[2, 10, B] = 1.0
x[3, B, B] = 1.0
x[4, 2, B] = 1.0
x[5, 8, A] = 1.0
x[6, A, A] = 1.0
x[7, 13, A] = 1.0
x[8, 11, A] = 1.0
x[9, 12, B] = 1.0
x[10, 9, B] = 1.0
x[11, 6, A] = 1.0
x[12, 3, B] = 1.0
x[13, A, A] = 1.0
x[14, 5, A] = 1.0
x[15, 1, A] = 1.0
x[A, 14, A] = 1.0
x[A, 15, A] = 1.0
x[B, 4, B] = 1.0
z[1, A, A] = 1.0
z[2, B, B] = 1.0
z[3, B, B] = 1.0
z[4, B, B] = 1.0
z[5, A, A] = 1.0
z[6, A, A] = 1.0
z[7, A, A] = 1.0
z[8, A, A] = 1.0
z[9, B, B] = 1.0
z[10, B, B] = 1.0
z[11, A, A] = 1.0
z[12, A, B] = 1.0
z[12, B, B] = 1.0
z[13, A, A] = 1.0
z[14, A, A] = 1.0
z[14, B, A] = 1.0
z[15, A, A] = 1.0
z[15, B, A] = 1.0
l[1, 7, A, 7] = 26.0
l[1, 7, A, 13] = 44.0
l[2, 10, B, 3] = 30.0
l[2, 10, B, 9] = 40.0
l[2, 10, B, 10] = 41.0
l[2, 10, B, 12] = 83.0
l[4, 2, B, 2] = 41.0
l[4, 2, B, 3] = 30.0
l[4, 2, B, 9] = 40.0
l[4, 2, B, 10] = 41.0
l[4, 2, B, 12] = 83.0
l[5, 8, A, 6] = 41.0
l[5, 8, A, 8] = 26.0
l[5, 8, A, 11] = 49.0
l[7, 13, A, 13] = 44.0
l[8, 11, A, 6] = 41.0
l[8, 11, A, 11] = 49.0
l[9, 12, B, 3] = 30.0
l[9, 12, B, 12] = 83.0
l[10, 9, B, 3] = 30.0
l[10, 9, B, 9] = 40.0
l[10, 9, B, 12] = 83.0
l[11, 6, A, 6] = 41.0
l[12, 3, B, 3] = 30.0
l[14, 5, A, 5] = 26.0
l[14, 5, A, 6] = 41.0
l[14, 5, A, 8] = 26.0
l[14, 5, A, 11] = 49.0
l[15, 1, A, 1] = 29.0
l[15, 1, A, 7] = 26.0
l[15, 1, A, 13] = 44.0
l[A, 14, A, 5] = 26.0
l[A, 14, A, 6] = 41.0
l[A, 14, A, 8] = 26.0
l[A, 14, A, 11] = 49.0
l[A, 14, A, 14] = 90.0
l[A, 15, A, 1] = 29.0
l[A, 15, A, 7] = 26.0
l[A, 15, A, 13] = 44.0
l[A, 15, A, 15] = 62.0
l[B, 4, B, 2] = 41.0
l[B, 4, B, 3] = 30.0
l[B, 4, B, 4] = 37.0
l[B, 4, B, 9] = 40.0
l[B, 4, B, 10] = 41.0
l[B, 4, B, 12] = 83.0
m[1, 7, A, 1] = 26.0
m[1, 7, A, 15] = 82.0
m[2, 10, B, 2] = 39.0
m[2, 10, B, 4] = 32.0
m[3, B, B, 2] = 39.0
m[3, B, B, 3] = 31.0
m[3, B, B, 4] = 32.0
m[3, B, B, 9] = 29.0
m[3, B, B, 10] = 33.0
m[3, B, B, 12] = 82.0
m[4, 2, B, 4] = 32.0
m[5, 8, A, 5] = 36.0
m[5, 8, A, 14] = 74.0
m[6, A, A, 5] = 36.0
m[6, A, A, 6] = 37.0
m[6, A, A, 8] = 45.0
m[6, A, A, 11] = 38.0
m[6, A, A, 14] = 74.0
m[7, 13, A, 1] = 26.0
m[7, 13, A, 7] = 36.0
m[7, 13, A, 15] = 82.0
m[8, 11, A, 5] = 36.0
m[8, 11, A, 8] = 45.0
m[8, 11, A, 14] = 74.0
m[9, 12, B, 2] = 39.0
m[9, 12, B, 4] = 32.0
m[9, 12, B, 9] = 29.0
m[9, 12, B, 10] = 33.0
m[10, 9, B, 2] = 39.0
m[10, 9, B, 4] = 32.0
m[10, 9, B, 10] = 33.0
m[11, 6, A, 5] = 36.0
m[11, 6, A, 8] = 45.0
m[11, 6, A, 11] = 38.0
m[11, 6, A, 14] = 74.0
m[12, 3, B, 2] = 39.0
m[12, 3, B, 4] = 32.0
m[12, 3, B, 9] = 29.0
m[12, 3, B, 10] = 33.0
m[12, 3, B, 12] = 82.0
m[13, A, A, 1] = 26.0
m[13, A, A, 7] = 36.0
m[13, A, A, 13] = 45.0
m[13, A, A, 15] = 82.0
m[14, 5, A, 14] = 74.0
m[15, 1, A, 15] = 82.0
Tempo de execução: 147.7073225 segundos
