Processando o arquivo: D:/rafaelvc/SUPERCODIGO/dados\vrps_8062.dat
status= OPTIMAL
ID = 8062
Numero de clientes = 20
OF (custo) = 430.34
Best Objective = 430.34
Best Bound = 430.3399999999999
GAP = 0.0%
x[1, 8, B] = 1.0
x[2, 17, B] = 1.0
x[3, 6, A] = 1.0
x[4, 19, A] = 1.0
x[5, 2, B] = 1.0
x[6, 12, A] = 1.0
x[7, 15, B] = 1.0
x[8, B, B] = 1.0
x[9, A, A] = 1.0
x[10, 7, B] = 1.0
x[11, 13, B] = 1.0
x[12, 20, A] = 1.0
x[13, 5, B] = 1.0
x[14, 3, A] = 1.0
x[15, 11, B] = 1.0
x[16, 1, B] = 1.0
x[17, 16, B] = 1.0
x[18, 10, B] = 1.0
x[19, 14, A] = 1.0
x[20, 9, A] = 1.0
x[A, 4, A] = 1.0
x[B, 18, B] = 1.0
z[1, B, B] = 1.0
z[2, B, B] = 1.0
z[3, A, A] = 1.0
z[4, A, A] = 1.0
z[4, B, A] = 1.0
z[5, A, B] = 1.0
z[5, B, B] = 1.0
z[6, A, A] = 1.0
z[7, A, B] = 1.0
z[7, B, B] = 1.0
z[8, B, B] = 1.0
z[9, A, A] = 1.0
z[10, B, B] = 1.0
z[11, B, B] = 1.0
z[12, A, A] = 1.0
z[12, B, A] = 1.0
z[13, A, B] = 1.0
z[13, B, B] = 1.0
z[14, A, A] = 1.0
z[14, B, A] = 1.0
z[15, B, B] = 1.0
z[16, B, B] = 1.0
z[17, B, B] = 1.0
z[18, B, B] = 1.0
z[19, A, A] = 1.0
z[20, A, A] = 1.0
l[1, 8, B, 8] = 13.0
l[2, 17, B, 1] = 9.0
l[2, 17, B, 8] = 13.0
l[2, 17, B, 16] = 16.0
l[2, 17, B, 17] = 15.0
l[3, 6, A, 6] = 19.0
l[3, 6, A, 9] = 7.0
l[3, 6, A, 12] = 26.0
l[3, 6, A, 20] = 7.0
l[4, 19, A, 3] = 11.0
l[4, 19, A, 6] = 19.0
l[4, 19, A, 9] = 7.0
l[4, 19, A, 12] = 26.0
l[4, 19, A, 14] = 27.0
l[4, 19, A, 19] = 15.0
l[4, 19, A, 20] = 7.0
l[5, 2, B, 1] = 9.0
l[5, 2, B, 2] = 8.0
l[5, 2, B, 8] = 13.0
l[5, 2, B, 16] = 16.0
l[5, 2, B, 17] = 15.0
l[6, 12, A, 9] = 7.0
l[6, 12, A, 12] = 26.0
l[6, 12, A, 20] = 7.0
l[7, 15, B, 1] = 9.0
l[7, 15, B, 2] = 8.0
l[7, 15, B, 5] = 22.0
l[7, 15, B, 8] = 13.0
l[7, 15, B, 11] = 11.0
l[7, 15, B, 13] = 24.0
l[7, 15, B, 15] = 14.0
l[7, 15, B, 16] = 16.0
l[7, 15, B, 17] = 15.0
l[10, 7, B, 1] = 9.0
l[10, 7, B, 2] = 8.0
l[10, 7, B, 5] = 22.0
l[10, 7, B, 7] = 24.0
l[10, 7, B, 8] = 13.0
l[10, 7, B, 11] = 11.0
l[10, 7, B, 13] = 24.0
l[10, 7, B, 15] = 14.0
l[10, 7, B, 16] = 16.0
l[10, 7, B, 17] = 15.0
l[11, 13, B, 1] = 9.0
l[11, 13, B, 2] = 8.0
