Processando o arquivo: E:/rafaelvc/SUPERCODIGO/dados\vrps_8012.dat
status= OPTIMAL
ID = 8012
Numero de clientes = 20
OF (custo) = 609.4499999999999
Best Objective = 609.4499999999999
Best Bound = 609.4499999999998
GAP = 0.0%
x[1, 3, A] = 1.0
x[2, 16, B] = 1.0
x[3, 14, A] = 1.0
x[4, 19, A] = 1.0
x[5, 20, B] = 1.0
x[6, 12, B] = 1.0
x[7, 18, B] = 1.0
x[8, 6, B] = 1.0
x[9, 2, B] = 1.0
x[10, 17, A] = 1.0
x[11, 15, A] = 1.0
x[12, 7, B] = 1.0
x[13, 5, B] = 1.0
x[14, 11, A] = 1.0
x[15, 10, A] = 1.0
x[16, 8, B] = 1.0
x[17, A, A] = 1.0
x[18, B, B] = 1.0
x[19, 1, A] = 1.0
x[20, 9, B] = 1.0
x[A, 4, A] = 1.0
x[B, 13, B] = 1.0
z[1, A, A] = 1.0
z[2, B, B] = 1.0
z[3, A, A] = 1.0
z[4, A, A] = 1.0
z[5, B, B] = 1.0
z[6, A, B] = 1.0
z[6, B, B] = 1.0
z[7, B, B] = 1.0
z[8, B, B] = 1.0
z[9, B, B] = 1.0
z[10, A, A] = 1.0
z[11, A, A] = 1.0
z[12, A, B] = 1.0
z[12, B, B] = 1.0
z[13, B, B] = 1.0
z[14, A, A] = 1.0
z[15, A, A] = 1.0
z[15, B, A] = 1.0
z[16, A, B] = 1.0
z[16, B, B] = 1.0
z[17, A, A] = 1.0
z[17, B, A] = 1.0
z[18, A, B] = 1.0
z[18, B, B] = 1.0
z[19, A, A] = 1.0
z[20, B, B] = 1.0
l[1, 3, A, 3] = 19.0
l[1, 3, A, 10] = 19.0
l[1, 3, A, 11] = 5.0
l[1, 3, A, 14] = 14.0
l[1, 3, A, 15] = 24.0
l[1, 3, A, 17] = 15.0
l[2, 16, B, 6] = 21.0
l[2, 16, B, 7] = 15.0
l[2, 16, B, 8] = 18.0
l[2, 16, B, 12] = 30.0
l[2, 16, B, 16] = 20.0
l[2, 16, B, 18] = 21.0
l[3, 14, A, 10] = 19.0
l[3, 14, A, 11] = 5.0
l[3, 14, A, 14] = 14.0
l[3, 14, A, 15] = 24.0
l[3, 14, A, 17] = 15.0
l[4, 19, A, 1] = 12.0
l[4, 19, A, 3] = 19.0
l[4, 19, A, 10] = 19.0
l[4, 19, A, 11] = 5.0
l[4, 19, A, 14] = 14.0
l[4, 19, A, 15] = 24.0
l[4, 19, A, 17] = 15.0
l[4, 19, A, 19] = 13.0
l[5, 20, B, 2] = 8.0
l[5, 20, B, 6] = 21.0
l[5, 20, B, 7] = 15.0
l[5, 20, B, 8] = 18.0
l[5, 20, B, 9] = 17.0
l[5, 20, B, 12] = 30.0
l[5, 20, B, 16] = 20.0
l[5, 20, B, 18] = 21.0
l[5, 20, B, 20] = 12.0
l[6, 12, B, 7] = 15.0
l[6, 12, B, 12] = 30.0
l[6, 12, B, 18] = 21.0
l[7, 18, B, 18] = 21.0
l[8, 6, B, 6] = 21.0
l[8, 6, B, 7] = 15.0
l[8, 6, B, 12] = 30.0
l[8, 6, B, 18] = 21.0
l[9, 2, B, 2] = 8.0
l[9, 2, B, 6] = 21.0
l[9, 2, B, 7] = 15.0
l[9, 2, B, 8] = 18.0
l[9, 2, B, 12] = 30.0
l[9, 2, B, 16] = 20.0
l[9, 2, B, 18] = 21.0
l[10, 17, A, 17] = 15.0
l[11, 15, A, 10] = 19.0
l[11, 15, A, 15] = 24.0
l[11, 15, A, 17] = 15.0
l[12, 7, B, 7] = 15.0
l[12, 7, B, 18] = 21.0
l[13, 5, B, 2] = 8.0
l[13, 5, B, 5] = 14.0
l[13, 5, B, 6] = 21.0
l[13, 5, B, 7] = 15.0
l[13, 5, B, 8] = 18.0
l[13, 5, B, 9] = 17.0
l[13, 5, B, 12] = 30.0
l[13, 5, B, 16] = 20.0
l[13, 5, B, 18] = 21.0
l[13, 5, B, 20] = 12.0
l[14, 11, A, 10] = 19.0
l[14, 11, A, 11] = 5.0
l[14, 11, A, 15] = 24.0
l[14, 11, A, 17] = 15.0
l[15, 10, A, 10] = 19.0
l[15, 10, A, 17] = 15.0
l[16, 8, B, 6] = 21.0
