Processando o arquivo: D:/rafaelvc/SUPERCODIGO/dados\vrps_8045.dat
status= OPTIMAL
ID = 8045
Numero de clientes = 25
OF (custo) = 879.1899999999999
Best Objective = 879.1899999999999
Best Bound = 879.1899999999999
GAP = 0.0%
x[1, 11, A] = 1.0
x[2, 15, A] = 1.0
x[3, 1, A] = 1.0
x[4, 2, A] = 1.0
x[5, 21, B] = 1.0
x[6, 18, A] = 1.0
x[7, 8, B] = 1.0
x[8, 5, B] = 1.0
x[9, 13, A] = 1.0
x[10, 17, A] = 1.0
x[11, 24, A] = 1.0
x[12, B, B] = 1.0
x[13, 4, A] = 1.0
x[14, 6, A] = 1.0
x[15, A, A] = 1.0
x[16, 19, B] = 1.0
x[17, 3, A] = 1.0
x[18, 10, A] = 1.0
x[19, B, B] = 1.0
x[20, 22, B] = 1.0
x[21, 20, B] = 1.0
x[22, 23, B] = 1.0
x[23, 16, B] = 1.0
x[24, 25, A] = 1.0
x[24, A, A] = 1.0
x[25, 9, A] = 1.0
x[A, 14, A] = 1.0
x[A, 24, A] = 1.0
x[B, 7, B] = 1.0
x[B, 12, B] = 1.0
z[1, A, A] = 1.0
z[2, A, A] = 1.0
z[3, A, A] = 1.0
z[3, B, A] = 1.0
z[4, A, A] = 1.0
z[5, B, B] = 1.0
z[6, A, A] = 1.0
z[7, B, B] = 1.0
z[8, B, B] = 1.0
z[9, A, A] = 1.0
z[9, B, A] = 1.0
z[10, A, A] = 1.0
z[10, B, A] = 1.0
z[11, A, A] = 1.0
z[12, B, B] = 1.0
z[13, A, A] = 1.0
z[13, B, A] = 1.0
z[14, A, A] = 1.0
z[15, A, A] = 1.0
z[16, A, B] = 1.0
z[16, B, B] = 1.0
z[17, A, A] = 1.0
z[18, A, A] = 1.0
z[19, B, B] = 1.0
z[20, B, B] = 1.0
z[21, B, B] = 1.0
z[22, B, B] = 1.0
z[23, B, B] = 1.0
z[24, A, A] = 1.0
z[24, B, A] = 1.0
z[25, A, A] = 1.0
l[1, 11, A, 11] = 54.0
l[2, 15, A, 15] = 49.0
l[3, 1, A, 1] = 30.0
l[3, 1, A, 11] = 54.0
l[4, 2, A, 2] = 38.0
l[4, 2, A, 15] = 49.0
l[5, 21, B, 16] = 60.0
l[5, 21, B, 19] = 65.0
l[5, 21, B, 20] = 68.0
l[5, 21, B, 21] = 35.0
l[5, 21, B, 22] = 30.0
l[5, 21, B, 23] = 36.0
l[6, 18, A, 1] = 30.0
l[6, 18, A, 3] = 107.0
l[6, 18, A, 10] = 110.0
l[6, 18, A, 11] = 54.0
l[6, 18, A, 17] = 35.0
l[6, 18, A, 18] = 66.0
l[7, 8, B, 5] = 68.0
l[7, 8, B, 8] = 44.0
l[7, 8, B, 16] = 60.0
l[7, 8, B, 19] = 65.0
l[7, 8, B, 20] = 68.0
l[7, 8, B, 21] = 35.0
l[7, 8, B, 22] = 30.0
l[7, 8, B, 23] = 36.0
l[8, 5, B, 5] = 68.0
l[8, 5, B, 16] = 60.0
l[8, 5, B, 19] = 65.0
l[8, 5, B, 20] = 68.0
l[8, 5, B, 21] = 35.0
l[8, 5, B, 22] = 30.0
l[8, 5, B, 23] = 36.0
l[9, 13, A, 2] = 38.0
l[9, 13, A, 4] = 36.0
l[9, 13, A, 13] = 120.0
l[9, 13, A, 15] = 49.0
l[10, 17, A, 1] = 30.0
l[10, 17, A, 3] = 107.0
l[10, 17, A, 11] = 54.0
l[10, 17, A, 17] = 35.0
l[13, 4, A, 2] = 38.0
l[13, 4, A, 4] = 36.0
l[13, 4, A, 15] = 49.0
l[14, 6, A, 1] = 30.0
l[14, 6, A, 3] = 107.0
l[14, 6, A, 6] = 56.0
l[14, 6, A, 10] = 110.0
l[14, 6, A, 11] = 54.0
l[14, 6, A, 17] = 35.0
l[14, 6, A, 18] = 66.0
l[16, 19, B, 19] = 65.0
l[17, 3, A, 1] = 30.0
l[17, 3, A, 3] = 107.0
l[17, 3, A, 11] = 54.0
l[18, 10, A, 1] = 30.0
l[18, 10, A, 3] = 107.0
l[18, 10, A, 10] = 110.0
l[18, 10, A, 11] = 54.0
l[18, 10, A, 17] = 35.0
l[20, 22, B, 16] = 60.0
l[20, 22, B, 19] = 65.0
l[20, 22, B, 22] = 30.0
l[20, 22, B, 23] = 36.0
l[21, 20, B, 16] = 60.0
l[21, 20, B, 19] = 65.0
l[21, 20, B, 20] = 68.0
l[21, 20, B, 22] = 30.0
l[21, 20, B, 23] = 36.0
l[22, 23, B, 16] = 60.0
l[22, 23, B, 19] = 65.0
l[22, 23, B, 23] = 36.0
l[23, 16, B, 16] = 60.0
l[23, 16, B, 19] = 65.0
l[24, 25, A, 2] = 38.0
l[24, 25, A, 4] = 36.0
l[24, 25, A, 9] = 96.0
l[24, 25, A, 13] = 120.0
l[24, 25, A, 15] = 49.0
l[24, 25, A, 25] = 73.0
l[25, 9, A, 2] = 38.0
l[25, 9, A, 4] = 36.0
l[25, 9, A, 9] = 96.0
l[25, 9, A, 13] = 120.0
l[25, 9, A, 15] = 49.0
l[A, 14, A, 1] = 30.0
l[A, 14, A, 3] = 107.0
l[A, 14, A, 6] = 56.0
l[A, 14, A, 10] = 110.0
l[A, 14, A, 11] = 54.0
l[A, 14, A, 14] = 38.0
l[A, 14, A, 17] = 35.0
l[A, 14, A, 18] = 66.0
l[A, 24, A, 2] = 38.0
l[A, 24, A, 4] = 36.0
l[A, 24, A, 9] = 96.0
l[A, 24, A, 13] = 120.0
l[A, 24, A, 15] = 49.0
l[A, 24, A, 24] = 77.0
l[A, 24, A, 25] = 73.0
l[B, 7, B, 5] = 68.0
l[B, 7, B, 7] = 73.0
l[B, 7, B, 8] = 44.0
l[B, 7, B, 16] = 60.0
l[B, 7, B, 19] = 65.0
l[B, 7, B, 20] = 68.0
l[B, 7, B, 21] = 35.0
l[B, 7, B, 22] = 30.0
l[B, 7, B, 23] = 36.0
l[B, 12, B, 12] = 54.0
m[1, 11, A, 1] = 44.0
m[1, 11, A, 3] = 105.0
m[1, 11, A, 6] = 53.0
m[1, 11, A, 10] = 100.0
m[1, 11, A, 14] = 26.0
m[1, 11, A, 17] = 51.0
m[1, 11, A, 18] = 62.0
m[2, 15, A, 2] = 62.0
m[2, 15, A, 3] = 84.0
m[2, 15, A, 4] = 59.0
m[2, 15, A, 9] = 102.0
m[2, 15, A, 13] = 101.0
m[2, 15, A, 25] = 40.0
m[3, 1, A, 3] = 105.0
m[3, 1, A, 6] = 53.0
m[3, 1, A, 10] = 100.0
m[3, 1, A, 14] = 26.0
m[3, 1, A, 17] = 51.0
m[3, 1, A, 18] = 62.0
m[4, 2, A, 3] = 84.0
m[4, 2, A, 4] = 59.0
m[4, 2, A, 9] = 102.0
m[4, 2, A, 13] = 101.0
