Processando o arquivo: D:/rafaelvc/SUPERCODIGO/dados\vrps_8071.dat
status= TIME_LIMIT
ID = 8071
Numero de clientes = 30
OF (custo) = 552.17
Best Objective = 552.17
Best Bound = 333.28179818326123
GAP = 39.64145133142669%
O tempo limite foi atingido.
x[2, 30, A] = 1.0
x[3, 17, A] = 1.0
x[5, A, A] = 1.0
x[9, 19, A] = 1.0
x[10, 15, A] = 1.0
x[11, 18, A] = 1.0
x[13, 23, A] = 1.0
x[15, A, A] = 1.0
x[16, 26, A] = 1.0
x[17, 27, A] = 1.0
x[18, 10, A] = 1.0
x[19, 21, A] = 1.0
x[20, 13, A] = 1.0
x[21, 11, A] = 1.0
x[22, 3, A] = 1.0
x[23, 22, A] = 1.0
x[26, 29, A] = 1.0
x[27, 28, A] = 1.0
x[28, 16, A] = 1.0
x[29, A, A] = 1.0
x[30, 20, A] = 1.0
x[A, 2, A] = 1.0
x[A, 5, A] = 1.0
x[A, 9, A] = 1.0
l[2, 30, A, 16] = 5.0
l[2, 30, A, 17] = 2.0
l[2, 30, A, 22] = 7.0
l[2, 30, A, 23] = 7.0
l[2, 30, A, 26] = 8.0
l[2, 30, A, 29] = 4.0
l[2, 30, A, 30] = 1.0
l[3, 17, A, 16] = 5.0
l[3, 17, A, 17] = 2.0
l[3, 17, A, 26] = 8.0
l[3, 17, A, 29] = 4.0
l[9, 19, A, 10] = 17.0
l[9, 19, A, 11] = 16.0
l[9, 19, A, 15] = 6.0
l[9, 19, A, 18] = 14.0
l[9, 19, A, 19] = 6.0
l[9, 19, A, 21] = 18.0
l[10, 15, A, 15] = 6.0
l[11, 18, A, 10] = 17.0
l[11, 18, A, 15] = 6.0
l[11, 18, A, 18] = 14.0
l[13, 23, A, 16] = 5.0
l[13, 23, A, 17] = 2.0
l[13, 23, A, 22] = 7.0
l[13, 23, A, 23] = 7.0
l[13, 23, A, 26] = 8.0
l[13, 23, A, 29] = 4.0
l[16, 26, A, 26] = 8.0
l[16, 26, A, 29] = 4.0
l[17, 27, A, 16] = 5.0
l[17, 27, A, 26] = 8.0
l[17, 27, A, 29] = 4.0
l[18, 10, A, 10] = 17.0
l[18, 10, A, 15] = 6.0
l[19, 21, A, 10] = 17.0
l[19, 21, A, 11] = 16.0
l[19, 21, A, 15] = 6.0
l[19, 21, A, 18] = 14.0
l[19, 21, A, 21] = 18.0
l[20, 13, A, 16] = 5.0
l[20, 13, A, 17] = 2.0
